Timestamp,CPU Usage (%),Memory Usage (%),GPU Usage (%),GPU Memory Usage (%),Total GPU Memory (MB),Free GPU Memory (MB),Used GPU Memory (MB)
2024-08-08 16:41:57,90.1,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:41:59,90.1,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:01,92.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:03,95.5,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:05,96.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:07,96.4,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:09,84.0,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:11,89.4,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:14,87.1,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:16,86.9,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:18,88.4,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:20,87.0,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:22,88.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:24,87.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:26,87.0,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:28,84.4,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:30,87.9,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:32,89.0,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:34,85.7,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:36,86.6,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:38,93.0,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:40,95.8,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:42,95.5,22.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:44,88.5,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:46,83.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:48,84.4,21.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:50,90.0,21.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:52,88.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:54,89.1,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:56,88.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:42:58,88.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:00,88.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:03,90.6,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:05,89.7,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:07,90.0,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:09,86.7,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:11,89.9,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:13,88.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:15,89.2,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:17,89.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:19,89.3,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:21,88.5,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:23,88.9,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:25,89.0,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:27,88.2,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:29,90.2,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:31,88.5,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:33,87.8,22.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:35,28.8,23.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:39,29.2,22.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:41,32.0,22.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:43,30.2,22.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:45,29.8,22.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:47,30.0,22.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:49,30.5,22.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:51,29.1,22.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:53,1.9,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:55,0.2,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:43:57,1.3,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
